Resolution,name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns
2416,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,258055,0.004598,13,19850,2056,219449,59983.898247
2416,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,22336,0.000398,13,1718,1258,2794,543.681279
2416,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,14847,0.000265,13,1142,735,1708,224.664379
2416,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,267460978,4.765958,13,20573921,15334,267257768,74119271.495597
2432,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,49228,0.000879,12,4102,3175,6010,767.218708
2432,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,663919,0.011860,12,55326,8280,458471,129690.798644
2432,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,4057818,0.072489,12,338151,82219,2127765,580172.892300
2432,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,913648,0.016321,12,76137,16223,243528,87111.566624
2432,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,153815,0.002748,12,12817,4989,36496,8151.003290
2432,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,96349,0.001721,12,8029,5212,17932,3828.630719
2432,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,301904,0.005393,12,25158,5572,201432,55659.390824
2432,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,616212,0.011008,12,51351,1711,225593,83301.417810
2432,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,229640,0.004102,12,19136,2096,197480,56172.062877
2432,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,24996,0.000447,12,2083,1174,8094,1916.037483
2432,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,13379,0.000239,12,1114,870,1279,123.808136
2432,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,118910,0.002124,12,9909,2151,18868,7475.331163
2432,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,266325009,4.757612,12,22193750,15790,265869475,76737989.335638
2448,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,59835,0.001065,13,4602,3615,7081,1025.941803
2448,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,539270,0.009600,13,41482,6946,325296,87849.018328
2448,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,3747242,0.066710,13,288249,80409,1760577,461651.678119
2448,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,119704,0.002131,13,9208,2086,18303,7310.744000
2448,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,1271497,0.022636,13,97807,16180,502823,149869.095786
